Vector Configuration, Time, #Data Comparisons, #Loop Comparisons, #Data Assignments, #Loop Assignments, #Other Operations, #Total Operations
Sorted N=500,0,499,501,0,502,2,1504
Sorted N=1000,0,999,1001,0,1002,2,3004
Sorted N=5000,0,4999,5001,0,5002,2,15004
Sorted N=10000,0,9999,10001,0,10002,2,30004
Reverse N=500,1,249500,250500,249500,375251,124752,1249503
Reverse N=1000,4,999000,1001000,999000,1500501,499502,4999003
Reverse N=5000,122,24995000,25005000,24995000,37502501,12497502,124995003
Reverse N=10000,491,99990000,100010000,99990000,150005001,49995002,499990003
Random N=500,1,222554,223446,120948,283921,60476,911345
Random N=1000,4,967032,968968,497380,1217659,248692,3899731
Random N=5000,126,24435112,24444888,12453328,30671553,6226666,98231547
Random N=10000,512,97290270,97309730,49591686,122105574,24795845,391093105
