Vector Configuration, Time, #Data Comparisons, #Loop Comparisons, #Data Assignments, #Loop Assignments, #Other Operations, #Total Operations
Sorted N=500,4,0,999,499,1000,501,2999
Sorted N=1000,14,0,1999,999,2000,1001,5999
Sorted N=5000,31,0,9999,4999,10000,5001,29999
Sorted N=10000,47,0,19999,9999,20000,10001,59999
Reverse N=500,479,0,125749,125249,125750,501,377249
Reverse N=1000,1956,0,501499,500499,501500,1001,1504499
Reverse N=5000,48291,0,12507499,12502499,12507500,5001,37522499
Reverse N=10000,189403,0,50014999,50004999,50015000,10001,150044999
Random N=500,235,0,61473,60973,61474,501,184421
Random N=1000,971,0,250689,249689,250690,1001,752069
Random N=5000,23714,0,6236663,6231663,6236664,5001,18709991
Random N=10000,93990,0,24815842,24805842,24815843,10001,74447528
